source_file,row_data
Montreal.csv,source_file,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27
page_0002_tables.csv,Dorchester.,Ste-Germaine,,,1,,,,,,,,
page_0002_tables.csv,Drummond,South Durham,,,,1,,,,,,,
page_0002_tables.csv,Gaspé,Hâvre Aubert,1,,,,,,,,,,
page_0002_tables.csv,,Shigawake,,,,1,,,,,,,
page_0002_tables.csv,,Gaspé Bay Nord,,,,,1,,,,,,
page_0003_tables.csv,﻿Table: Table_1
page_0003_tables.csv,Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
page_0003_tables.csv,Verchères,McMasterville,,,,8,,,,,,,
page_0003_tables.csv,Westmount,Montreal West,,,,1,,,,,,,
page_0003_tables.csv,,Outremont,,,6,,4,,,,,,
page_0003_tables.csv,,Westmount,,,1,,,,,,,,
page_0003_tables.csv,Wolfe,St-Camille,,,,1,,,,,,,
page_0003_tables.csv,,Total pour juillet-Total for July,12,150,179,197,136,49,104,3,105,,5
page_0003_tables.csv,Table: Table_2
page_0003_tables.csv,Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
page_0003_tables.csv,Hull,Kensington,4,,,,,,,,,,
page_0003_tables.csv,,Bouchette,1,,,,,,,,,,
page_0003_tables.csv,,Messine,2,,,,,,,,,,
page_0003_tables.csv,,Maniwaki, Canton,4,,,,,,,,,,
page_0003_tables.csv,,Maniwaki,,,,3,,,,,,,
page_0003_tables.csv,,Low,,,,1,,,,,,,
page_0003_tables.csv,,Hull,,,2,,,,,1,,,
page_0003_tables.csv,Huntingdon,Huntingdon,,,,,,,,,1,,
page_0003_tables.csv,Jacq.-Cartier,Verdun,,6,9,9,40,1,5,,,,
page_0003_tables.csv,,Lachine,,3,,,,,3,,,,
page_0003_tables.csv,,Ville St-Pierre,,,1,,,,,,1,,
page_0003_tables.csv,Joliette,Joliette, ville-town,,5,,1,,,,,,,
page_0003_tables.csv,Kamouraska,St-Alexandre,,,,,,,,,1,,
page_0003_tables.csv,Laprairie,St-Isidore,,,,2,,,,,,,
page_0003_tables.csv,L'Assomption,Mascouche,,1,,,,,,,,,
page_0003_tables.csv,Laval,St-Jean de Dieu,,,,,,,,,2,,
page_0003_tables.csv,Lévis,Lévis,,,,2,,,,,,,
page_0003_tables.csv,Lotbinière,Issoudun,,1,,,,,,,,,
page_0003_tables.csv,Matane,St-Ulric,,,,1,,,,,,,
page_0003_tables.csv,Montmagny,St-Pierre,,1,,,,,,,,,
page_0003_tables.csv,Nicolet,Nicolet,,,1,,,,,,,,
page_0003_tables.csv,Papineau,Masson,,,,3,,,,,,,
page_0003_tables.csv,,Ponsonby,,,12,,,,,,,,
page_0003_tables.csv,Portneuf,Pointe-aux-Trembles Donaconna,,1,,,,,2,,,,
page_0003_tables.csv,Richelieu,St-Aimé,,1,,,,,,,,,
page_0003_tables.csv,Richmond,Richmond,,,,1,,,,,,,
page_0003_tables.csv,Shefford,Stukely Nord Granby,,1,2,,,,,,,,
page_0003_tables.csv,Sherbrooke,Sherbrooke,,1,,,1,,,,,,
page_0003_tables.csv,Stanstead,Stanstead,,1,,,,,,,,,
page_0003_tables.csv,,North Hathley,,,,1,,,,,,,
page_0003_tables.csv,,Magog Tsp,,,1,,,,,,,,
page_0003_tables.csv,,Coaticook,,,2,,,,,,,,
page_0003_tables.csv,,Barnston,,,,,2,,,,,,
page_0003_tables.csv,,Rock Island,,,,,1,,,,,,
page_0003_tables.csv,Témiscouata,St-Benoit l'Abb3,,1,,,,,,,,,
page_0003_tables.csv,,Trois-Pistoles,,,1,,,,,,,,
page_0003_tables.csv,,St-Eloi,,,,,,,,,1,,
page_0003_tables.csv,,St-Arsène,,,,,,,,,1,,
page_0003_tables.csv,,Cabano,,,,,,,,,,,
page_0003_tables.csv,,Rivière du Loup,,,,,,,,,1,,
page_0003_tables.csv,Vaudreuil,Rigaud Par,,,1,,,,,,,,
page_0003_tables.csv,Table: Table_3
page_0003_tables.csv,,Montreal,2,90,85,77,33,9,37,1,122,1,4
page_0003_tables.csv,,Québec,,8,15,,1,,1,,6,,
page_0003_tables.csv,,Trois-Rivières,,3,1,1,,,8,,,,
page_0003_tables.csv,Abitibi,Amos,,3,1,,,,,,,,
page_0003_tables.csv,,St-Marc de Figuery,,,,,,,1,,,,
page_0003_tables.csv,L:,Launay,,,,,,,20,,,,
page_0003_tables.csv,Beauce,Beauceville,,3,,3,,,,,,,
page_0003_tables.csv,,Aubert Gallion,,,,2,,,,,,,
page_0003_tables.csv,,Sacré-Coeur de Jésus,,,,1,,,,,,,
page_0003_tables.csv,,St-Elzéar,,,1,,,,,,,,
page_0003_tables.csv,,Metgermette Nord,,,,,,,,,1,,
page_0003_tables.csv,,St-François,,,,,,,12,,,,
page_0003_tables.csv,Berthier,Berthierville,,1,,,,,,,,,
page_0003_tables.csv,,Lavaltrie,,,,1,,,,,,,
page_0003_tables.csv,,Lanoraie,,,,3,,,,,,,
page_0003_tables.csv,,Ste-Geneviève,,,,2,,,,,,,
page_0003_tables.csv,Bonaventure,Escuminac,,,,1,,,,,,,
page_0003_tables.csv,Brome,Potton,,,2,,,,,,,,
page_0003_tables.csv,Chambly,St-Lambert,,,1,,,,,,,,
page_0003_tables.csv,Champlain,St-Narcisse,,,,1,,,,,,,
page_0003_tables.csv,,St-Adelphe,,,,1,,,,,,,
page_0003_tables.csv,Chicoutimi,Chicoutimi,,1,,,,,,,,,
page_0003_tables.csv,,Jonquières,,,1,1,,,,,,,
page_0003_tables.csv,Compton,East Angus,,2,,,,,,,,,
page_0003_tables.csv,,Newport,,,,,5,,,,1,,
page_0003_tables.csv,,Eaton,,,,,,,,,,,
page_0003_tables.csv,Dorchester,St-Léon de Standon,,1,,,,,,,,,
page_0003_tables.csv,,St-Maxime de Scott,,,,5,,,,,,,
page_0003_tables.csv,,Ste-Germaine,,,1,,,,,,,,
page_0003_tables.csv,,St-Isidore,,,1,,,,,,,,
page_0004_tables.csv,﻿Table: Table_1
page_0004_tables.csv,Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningiti;,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
page_0004_tables.csv,Hull,Wakefield,,,,1,,,,,,,
page_0004_tables.csv,J.-Cartier,Verdun,,2,4,8,17,1,1,,,,
page_0004_tables.csv,,Lachine,,1,,,,,,,,,
page_0004_tables.csv,,Pointe-Claire par,,,,3,,,,,,,
page_0004_tables.csv,,Ste-Anne de Bellevue,,,1,,,,,,,,
page_0004_tables.csv,Joliette,St-Jean de Matha,,,,3,,,,,,,
page_0004_tables.csv,Kamouraska,St-André,,,,,,,,,1,,
