file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Confidence_Value
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,23,7,7,TRUE,59.28
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,24,1,1,TRUE,87.3
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,25,3,3,TRUE,20.79
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,26,-,-,TRUE,86.52
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,27,-,-,TRUE,36.43
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,28,1,1,TRUE,86.23
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,29,-,-,TRUE,77.64
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,30,-,-,TRUE,26.98
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,31,1,1,TRUE,89.06
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,32,-,-,TRUE,52.98
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,33,1,1,TRUE,85.01
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,34,-,-,TRUE,47.68
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,35,5,6,FALSE,87.26
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,36,12,12,TRUE,86.08
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,37,4,4,TRUE,83.2
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,38,5,5,FALSE,86.57
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,0,6,6,TRUE,81.64
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,1,Encephalitis,"Encephalitis, infectious",FALSE,42.92
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,2, infectious,-,FALSE,82.86
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,3,-,-,TRUE,78.96
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,4,-,-,TRUE,85.06
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,5,-,3,FALSE,87.74
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,6,3,4,FALSE,31.2
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,7,4,4,TRUE,87.84
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,8,4,-,FALSE,84.62
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,9,-,-,TRUE,69.87
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,10,-,-,TRUE,83.89
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,11,-,..,FALSE,81.45
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,12,,..,FALSE,23.55
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,13,: .,..,FALSE,82.08
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,14,:,-,FALSE,19.25
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,5,15,-,-,TRUE,82.86
